vamc_display,station_no,va_funded,not_in_dimensions,alt_station_nos
"VA Boston Healthcare System; Sam Rayburn Memorial Veterans Center (includes Brockton, Jamaica Plain, West Roxbury)","523, 523A4, 525, 549A4",Y,False,523; 523A4; 525; 549A4
Syracuse VA Medical Center,528A7,Y,False,528A7
Albany Stratton VA Medical Center,528A8,Y,False,528A8
VA New Jersey Health Care System; New York/New Jersey VA Health Care Network; East Orange VA Medical Center (includes Lyons),"561, 561A4",Y,False,561; 561A4
Iowa City VA Health Care System; Iowa City VA Medical Center,"584, 636A8",Y,False,584; 636A8
VA Eastern Kansas Health Care System; Dwight D. Eisenhower VA Medical Center; Colmery-O'Neil VA Medical Center,"589A5, 589A6",Y,False,589A5; 589A6
Central Arkansas Veterans Healthcare System; John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),"598, 598NLR",Y,False,598; 598NLR
Central Alabama Veterans Health Care System,619A4,,False,619A4
"VA Central Iowa Health Care System (Des Moines, IA)",636A6,,False,636A6
VA Palo Alto Health Care System (includes Menlo Park),"640, 640MPD",Y,False,640; 640MPD
VA Pittsburgh Healthcare System (includes H.J. Heinz Campus),"646, 646A4",Y,False,646; 646A4
VA Puget Sound Health Care System (includes American Lake),"663, 663A4",Y,False,663; 663A4
"Doris Miller VA Medical Center (Waco, TX)",674A4,,False,674A4
"VA Sunshine Healthcare Network (St. Petersburg, FL)",,, False,
